Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
soybean,1,"weka,classifiers,trees,J48","'-C 0,25 -M 2'","-2,17733168393644E+017","2,02E+07",450,233,209,24,0,"89,6995708154507","10,3004291845494",0,"0,886806202178049","0,015057824184675","0,0896020340351528","15,6597193107529","40,902019979206","892,813349416455","2235,017654923","-1342,20430550655","3,83181695028521","9,59235045031332","-5,76053350002811","802,553195765615","3,44443431659062","89,8903669272157",1,7,"0,0309734513274336",7,"0,969026548672566",219,0,0,"0,5",1,"0,666666666666667","0,696069877480906","0,991150442477876","0,7","0,896995708154507","0,0116269736706533","0,988373026329347","0,103004291845494","0,911431355137882","0,896995708154507","0,891609301484472","0,887355316451244","0,9885146569146","0,918518931556769","0,890261519420953","0,896995708154507",4,1,0,0,0,0,54756,150252,81463,"97,8540772532189","8,58369098712446",'Number of leaves: 55\nSize of the tree: 85\n',85,55,55
soybean,2,"weka,classifiers,trees,J48","'-C 0,25 -M 2'","-2,17733168393644E+017","2,02E+07",448,235,212,23,0,"90,2127659574468","9,78723404255319",0,"0,892294203216228","0,0145259988075679","0,0856650716305363","15,0991819758695","39,0650449064397","905,557058060526","1170,9739936182","-265,416935557677","3,85343428961926","4,9828680579498","-1,12943376833054","809,46106290795","3,44451516131043","89,3881899216391",1,7,0,0,1,228,0,0,1,1,1,1,1,1,"0,902127659574468","0,0141415537072175","0,985858446292782","0,0978723404255319",NaN,"0,902127659574468",NaN,NaN,"0,989798590739289","0,92766013876289",NaN,"0,902127659574468",5,1,0,"0,01",0,10,47914,149618,82097,"97,8723404255319","9,20492721164614",'Number of leaves: 48\nSize of the tree: 72\n',72,48,48
soybean,3,"weka,classifiers,trees,J48","'-C 0,25 -M 2'","-2,17733168393644E+017","2,02E+07",449,234,206,28,0,"88,034188034188","11,965811965812",0,"0,868576242628475","0,0162113558855106","0,095841977018254","16,8527344489477","43,7156925902597","900,842865196928","4383,41789461259","-3482,57502941566","3,84975583417491","18,732555105182","-14,8827992710071","804,942582018217","3,43992556418042","89,3543827804257",1,7,"0,00440528634361234",1,"0,995594713656388",226,0,0,875,1,"0,933333333333333","0,933351688512609","0,997797356828194",875,"0,88034188034188","0,0143405394800827","0,985659460519917","0,11965811965812","0,894267495100829","0,88034188034188","0,874388262445676","0,868674919584456","0,984470965874411","0,896955391113109","0,873614035341724","0,88034188034188",5,1,0,0,0,0,52202,149935,81780,"97,008547008547","8,97435897435898",'Number of leaves: 53\nSize of the tree: 80\n',80,53,53
soybean,4,"weka,classifiers,trees,J48","'-C 0,25 -M 2'","-2,17733168393644E+017","2,02E+07",452,231,204,27,0,"88,3116883116883","11,6883116883117",0,"0,871213529083813","0,0167695500352057","0,0994269055657493","17,4409513061861","45,3914952431031","884,322521517082","7601,20615318312","-6716,88363166603","3,82823602388347","32,9056543427841","-29,0774183189006","776,771766084051","3,3626483380262","87,8380621531017","0,666666666666667",4,0,0,1,225,"0,333333333333333",2,1,"0,666666666666667","0,8","0,812891721905107",1,1,"0,883116883116883","0,0145435897790392","0,985456410220961","0,116883116883117","0,885900269198589","0,883116883116883","0,875165410274299","0,867460185491586","0,976147720996756","0,889120955830253","0,835003503304876","0,883116883116883",5,1,"0,01",0,10,0,55558,150886,80829,"95,2380952380952","8,38459785828206",'Number of leaves: 58\nSize of the tree: 86\n',86,58,58
soybean,1,"weka,classifiers,trees,J48",'-O -U -M 2',"-2,17733168393644E+017","2,02E+07",450,233,208,25,0,"89,2703862660944","10,7296137339056",0,"0,882187569524503","0,0142450920160242","0,0953080998218129","14,8145004079553","43,5067556788116","892,813349416455","12933,3823653787","-12040,5690159622","3,83181695028521","55,5080788213677","-51,6762618710825","802,067993941621","3,44235190532885","89,836021657366",1,7,"0,0221238938053097",5,"0,97787610619469",221,0,0,"0,583333333333333",1,"0,736842105263158","0,755266660599797",1,1,"0,892703862660944","0,0116967064142511","0,988303293585749","0,107296137339056","0,896388873939932","0,892703862660944","0,889544396320994","0,881095131109807","0,968324398208364","0,892452769412281","0,888600934307305","0,892703862660944",3,1,0,0,0,0,103752,150252,81463,"94,8497854077253","7,34131466004065",'Number of leaves: 118\nSize of the tree: 175\n',175,118,118
soybean,2,"weka,classifiers,trees,J48",'-O -U -M 2',"-2,17733168393644E+017","2,02E+07",448,235,214,21,0,"91,063829787234","8,93617021276596",0,"0,901952993066179","0,0139139935671611","0,0915519364688264","14,46302754563","41,7495770604287","905,557058060526","9724,96555889206","-8819,40850083154","3,85343428961926","41,3828321654981","-37,5293978758789","814,239476027486","3,46484883415952","89,9158665685166",1,7,0,0,1,228,0,0,1,1,1,1,1,1,"0,91063829787234","0,0102302033853332","0,989769796614667","0,0893617021276596",NaN,"0,91063829787234",NaN,NaN,"0,975481855955875","0,89690061566631",NaN,"0,91063829787234",2,1,"0,01",0,10,0,117270,149618,82097,"95,7446808510638","7,50279955207166",'Number of leaves: 143\nSize of the tree: 198\n',198,143,143
soybean,3,"weka,classifiers,trees,J48",'-O -U -M 2',"-2,17733168393644E+017","2,02E+07",449,234,206,28,0,"88,034188034188","11,965811965812",0,"0,86882095020722","0,0140827448376277","0,094323584261094","14,6399080210774","43,0231193246786","900,842865196928","12927,2903033013","-12026,4474381043","3,84975583417491","55,2448303559884","-51,3950745218134","811,226657969071","3,46678058961142","90,0519601486474",1,7,"0,00440528634361234",1,"0,995594713656388",226,0,0,875,1,"0,933333333333333","0,933351688512609","0,997797356828194",875,"0,88034188034188","0,0126236987515142","0,987376301248486","0,11965811965812","0,895155295796321","0,88034188034188","0,880818149517302","0,872730552498289","0,969420200936048","0,885879570601414","0,874103622234736","0,88034188034188",3,1,"0,01",0,10,0,110446,149935,81780,"94,8717948717949","7,24246513720197",'Number of leaves: 132\nSize of the tree: 186\n',186,132,132
soybean,4,"weka,classifiers,trees,J48",'-O -U -M 2',"-2,17733168393644E+017","2,02E+07",452,231,199,32,0,"86,1471861471862","13,8528138528139",0,"0,847480708125284","0,0160091099948546","0,108680497632496","16,6500655825266","49,6160497325476","884,322521517082","19378,1625384073","-18493,8400168902","3,82823602388347","83,8881495169148","-80,0599134930313","766,860652317435","3,31974308362526","86,7173043384514","0,666666666666667",4,0,0,1,225,"0,333333333333333",2,1,"0,666666666666667","0,8","0,812891721905107",1,1,"0,861471861471861","0,0160655270358472","0,983934472964153","0,138528138528139","0,861556997595959","0,861471861471861","0,856723633155469","0,845390976254853","0,954602551648924","0,847580204973816","0,818090221750246","0,861471861471861",2,1,0,0,0,0,103268,150886,80829,"90,9090909090909","7,01754385964911",'Number of leaves: 122\nSize of the tree: 173\n',173,122,122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Promedio Pruned,SSE Pruned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
